,feature_1,feature_2,r,p
100,rush_att,Sk,0.49275085929380336,2.870700605037965e-29
101,games_played,rush_att,0.4918268093118981,3.7772084975879424e-29
102,loss,att,0.4911378163027874,4.632343210124455e-29
103,comp_pct,comp,0.48903758793983765,8.604568654924208e-29
104,comp,4QC,0.4866409538717984,1.7351901036239698e-28
105,4QC,yds,0.4838805559766784,3.865749517124925e-28
106,td_perc,percent_of_cap,0.48130666567279057,8.105478379671881e-28
107,att,4QC,0.4789418831027299,1.5915063121930215e-27
108,fir_dn_throws,avg_yds_per_att,0.4762047694629269,3.4525401410118895e-27
109,4QC,fir_dn_throws,0.4723091272966795,1.0271399615834607e-26
110,comp_pct,fir_dn_throws,0.4700086551400755,1.9426672293081722e-26
111,games_played,loss,0.4698618552531261,2.0229668813603237e-26
112,yds,comp_pct,0.4643930851562147,9.021159669495414e-26
113,games_played,4QC,0.46436469576240597,9.090807029222284e-26
114,QBR,games_played,0.4624396062791865,1.528852465251989e-25
115,int_perc,QBR,-0.4618970685465936,1.7690205789178411e-25
116,win,comp_pct,0.46116989876368536,2.1502417447400286e-25
117,td_perc,yds_per_comp,0.45701423894298965,6.500775747459984e-25
118,td,Sk,0.4533074119849304,1.721969357190729e-24
119,win,rush_att,0.4505849430008869,3.495099735465132e-24
120,4QC,td,0.4334118194796679,2.631388793224139e-22
121,lng_comp,yds,0.43304013763368365,2.8815987988452466e-22
122,loss,comp,0.4316363491121509,4.0568212941720283e-22
123,win,Sk,0.4309228625076301,4.824179028082619e-22
124,games_played,yds_per_gm,0.4284323548406242,8.80345631978054e-22
125,rush_yds,Sk,0.42673438057771795,1.3228666302678706e-21
126,td_perc,comp,0.4215065738199637,4.568817534527763e-21
127,int,Sk,0.41744953912967614,1.1779040698622436e-20
128,pass_rating,att,0.4167727607136206,1.377781807753554e-20
129,pass_rating,games_played,0.415990961308586,1.6505249773967816e-20
130,QBR,GWD,0.4118628181185295,4.250351255030493e-20
131,int_perc,win,-0.4110145641938,5.1538746919822774e-20
132,percent_of_cap,avg_yds_per_att,0.40927337432883737,7.642140636189207e-20
133,lng_comp,td,0.4092584251887738,7.667954426819573e-20
134,percent_of_cap,comp_pct,0.40556582237775596,1.754595344526659e-19
135,fir_dn_throws,lng_comp,0.40315521109488056,2.995438870043197e-19
136,comp_pct,int_perc,-0.4031493174714357,2.9993424116481513e-19
137,yds_per_comp,QBR,0.39664889306747697,1.241727766398808e-18
138,int,td,0.3932903437636014,2.5557408063274277e-18
139,int,yds_per_gm,0.39263750521007945,2.937911155557705e-18
140,loss,yds,0.3924462650066761,3.0601466620845196e-18
141,percent_of_cap,GWD,0.3886363239151312,6.855545949869326e-18
142,att,lng_comp,0.3862957620191185,1.119416019466914e-17
143,avg_yds_per_att,lng_comp,0.38491003966050497,1.4937076830172167e-17
144,lng_comp,comp,0.3820882843815871,2.6762601483850154e-17
145,GWD,Sk,0.3820658999956276,2.6886087548902014e-17
146,avg_yds_per_att,comp,0.38009039180303306,4.030574105031238e-17
147,yds_per_gm,lng_comp,0.374626642298327,1.2175920523149345e-16
148,games_played,lng_comp,0.37363466774179366,1.4849242914866494e-16
149,Sk,percent_of_cap,0.3731704087372241,1.6290960756012832e-16
150,loss,fir_dn_throws,0.36862532938291037,4.0041526465834136e-16
151,pass_rating,GWD,0.3639214774237802,1.0005937386330597e-15
152,td_perc,att,0.3639125581119631,1.0023185834854065e-15
153,games_played,td_perc,0.3629235854529618,1.2128283823479661e-15
154,pass_rating,yds_per_comp,0.35857951308588676,2.7802659383117845e-15
155,4QC,percent_of_cap,0.3583746196873827,2.8903080729245162e-15
156,yds_per_gm,GWD,0.35818564683786025,2.9955823894315516e-15
157,rush_td,rush_avg,0.3573283155136153,3.522412489384183e-15
158,Sk,4QC,0.3572307575887339,3.587839957434451e-15
159,comp_pct,att,0.3570676750080092,3.699884415916479e-15
160,lng_comp,yds_per_comp,0.3546756493818704,5.7968699745683044e-15
161,yds_per_gm,yds_per_comp,0.3543894406285337,6.115273573762727e-15
162,int_perc,percent_of_cap,-0.3482789623758298,1.8906888510012223e-14
163,4QC,QBR,0.3467990366234858,2.4759918395055233e-14
164,rush_yds,Age,-0.34514718215901663,3.340073306495934e-14
165,td,int_perc,-0.34511116400019126,3.361879945926744e-14
166,lng_comp,win,0.33943484466468454,9.277758297836855e-14
167,4QC,yds_per_gm,0.33907114552139306,9.89428361714681e-14
168,games_played,rush_yds,0.33764627083195803,1.2720312365084612e-13
169,rush_att,percent_of_cap,0.3374115874491335,1.3256088241624206e-13
170,rush_avg,Age,-0.3307458008168832,4.2170797594419847e-13
171,lng_comp,td_perc,0.3295096953949286,5.210491537365787e-13
172,rush_att,yds,0.3264797624545248,8.71585140315488e-13
173,games_played,avg_yds_per_att,0.3263580639186471,8.896766451162329e-13
174,games_played,rush_td,0.3225956318692141,1.6715183310636093e-12
175,lng_comp,QBR,0.3193692829461059,2.8506912738153212e-12
176,rush_att,fir_dn_throws,0.3186701050331541,3.19761748345569e-12
177,td,rush_att,0.3172767001560063,4.0164228949314104e-12
178,Age,rush_att,-0.3168262587780155,4.322520946165015e-12
179,comp_pct,GWD,0.3158821555085264,5.039868347502248e-12
180,4QC,pass_rating,0.31558719563371096,5.286935563784537e-12
181,att,rush_att,0.31552268841949493,5.3425250421228275e-12
182,comp_pct,games_played,0.3108412988525111,1.1336747207513714e-11
183,int_perc,td_perc,-0.309805750107053,1.3365680941842378e-11
184,avg_yds_per_att,att,0.30921926202520755,1.4667734629747906e-11
185,GWD,td_perc,0.30846962548899565,1.6513356854736236e-11
186,lng_comp,pass_rating,0.30800256915706037,1.7775878273801773e-11
187,win,rush_td,0.302887800415707,3.949356082756384e-11
188,comp,rush_att,0.30089957166289916,5.3638635560869144e-11
189,rush_avg,Sk,0.2994467077290931,6.698693981975801e-11
190,int_perc,comp,-0.29800503900851477,8.341166241377379e-11
191,comp_pct,Age,0.2959750909115708,1.133520814629496e-10
192,Sk,rush_td,0.2897678186096471,2.852896408718872e-10
193,yds,int_perc,-0.2862958660147801,4.734649909420902e-10
194,rush_yds,win,0.2860566304117248,4.901585540274699e-10
195,yds_per_comp,td,0.2854157833140655,5.377469574995468e-10
196,rush_yds,percent_of_cap,0.283045797051538,7.559876748443038e-10
197,rush_att,QBR,0.2812428331956358,9.775250973720333e-10
198,yds_per_gm,Age,0.2791053451430955,1.3225544987168532e-09
199,comp_pct,4QC,0.2775005495951473,1.65670268829351e-09
200,Age,pass_rating,0.27724095978334273,1.7179495534259934e-09
201,int_perc,fir_dn_throws,-0.277212925730453,1.7246939162988429e-09
202,Sk,yds_per_gm,0.27411920743204077,2.6504441990946296e-09
203,games_played,int_perc,-0.27335381771455347,2.9452770849483787e-09
204,avg_yds_per_att,GWD,0.2694424692121058,5.0234360087425006e-09
205,GWD,rush_att,0.2678756895159408,6.206528105847975e-09
206,win,int,0.2643965515293939,9.878656056573603e-09
207,year_signed,comp_pct,0.2603143246859317,1.68987845348383e-08
208,int,GWD,0.2595741761638148,1.860825948318033e-08
209,int,lng_comp,0.2588514624338357,2.043831973475114e-08
210,yds_per_comp,yds,0.25733165333060404,2.4872223163475404e-08
211,lng_comp,percent_of_cap,0.2538541534712871,3.879504965723859e-08
212,pass_rating,rush_att,0.25034446842364466,6.036066707756568e-08
213,Sk,lng_comp,0.24995995712327918,6.333037164996891e-08
214,Age,td,0.24920939468687453,6.953887027985585e-08
215,td_perc,rush_att,0.24839612060047966,7.692882416113944e-08
